# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.5000000000e+01
# lRef            : 9.8770000000e-01
# Aref            : 9.8770000000e-05
# CofR            : (2.5000000000e-01 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
2.05              	5.7121220434e-03	7.4546068341e-04	4.9666613600e-03	2.0742686111e-01	6.0261060725e-02	1.4716580038e-01	-4.3452369829e-02	-2.1106003383e-03	5.8121723738e-05	1.9562184873e-17	5.8121723738e-05	-5.8121723738e-05
2.1               	5.6198022530e-03	7.1769812644e-04	4.9021041265e-03	2.0561879633e-01	6.0278492597e-02	1.4534030374e-01	-4.2530905569e-02	-2.0922030000e-03	5.7182355616e-05	2.0275627472e-17	5.7182355616e-05	-5.7182355616e-05
2.15              	5.4861785668e-03	6.8424446055e-04	4.8019341063e-03	2.0234040115e-01	6.0216275829e-02	1.4212412532e-01	-4.0953924745e-02	-2.0588448229e-03	5.5822713978e-05	1.9542277793e-17	5.5822713978e-05	-5.5822713978e-05
2.2               	5.6771795977e-03	7.2598816410e-04	4.9511914336e-03	2.0762354574e-01	6.0433996516e-02	1.4718954922e-01	-4.3377776352e-02	-2.1126016347e-03	5.7766178958e-05	2.1156841321e-17	5.7766178958e-05	-5.7766178958e-05
2.25              	5.4801625035e-03	6.7860356981e-04	4.8015589337e-03	2.0259915487e-01	6.0358158745e-02	1.4224099613e-01	-4.0941418692e-02	-2.0614776820e-03	5.5761499606e-05	1.9663899809e-17	5.5761499606e-05	-5.5761499606e-05
2.3               	5.7042720569e-03	7.3810411210e-04	4.9661679448e-03	2.0776411182e-01	6.0416554404e-02	1.4734755742e-01	-4.3465501506e-02	-2.1140319164e-03	5.8041848913e-05	2.1033788695e-17	5.8041848913e-05	-5.8041848913e-05
2.35              	5.5963361733e-03	7.0664284921e-04	4.8896933241e-03	2.0555218677e-01	6.0352769756e-02	1.4519941701e-01	-4.2423323628e-02	-2.0915252374e-03	5.6943584633e-05	1.9835593174e-17	5.6943584633e-05	-5.6943584633e-05
2.4               	5.7304569539e-03	7.4337858353e-04	4.9870783704e-03	2.0853245171e-01	6.0470293009e-02	1.4806215871e-01	-4.3795932848e-02	-2.1218498934e-03	5.8308284283e-05	1.9208927006e-17	5.8308284283e-05	-5.8308284283e-05
2.45              	5.6774424397e-03	7.2812528676e-04	4.9493171529e-03	2.0742642817e-01	6.0397526898e-02	1.4702890127e-01	-4.3315687186e-02	-2.1105959331e-03	5.7768853416e-05	1.9692064892e-17	5.7768853416e-05	-5.7768853416e-05
2.5               	5.7346405717e-03	7.4459601907e-04	4.9900445526e-03	2.0861838391e-01	6.0479366106e-02	1.4813901780e-01	-4.3829825849e-02	-2.1227242668e-03	5.8350853240e-05	2.0538364898e-17	5.8350853240e-05	-5.8350853240e-05
2.55              	5.4897509295e-03	6.6491442649e-04	4.8248365030e-03	2.0441567338e-01	6.0380831573e-02	1.4403484181e-01	-4.1827005118e-02	-2.0799610383e-03	5.5859063320e-05	2.0093031229e-17	5.5859063320e-05	-5.5859063320e-05
2.6               	5.7552962713e-03	7.4921007354e-04	5.0060861978e-03	2.0917992776e-01	6.0480272569e-02	1.4869965519e-01	-4.4109691309e-02	-2.1284380621e-03	5.8561028173e-05	2.1061799721e-17	5.8561028173e-05	-5.8561028173e-05
