"T","TMean","U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","alphat","epsilon","k","nut","nutMean","p","p_rgh","p_rghMean","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
300,300,3.0366e-06,-2.6613e-08,1.6317,5.1159e-06,-1.4871e-07,1.642,4.1532e-10,3.7973e-12,0.0033733,-2.8492e-11,6.6305e-08,-7.076e-07,0.27607,0.0082909,0.14181,0.23466,0.24365,99971,1e+05,1e+05,0,0,0,0,1,2.9,125,2.9,200
300,300,3.075e-06,-2.8928e-08,1.651,5.1574e-06,-1.5493e-07,1.6613,4.1858e-10,4.0788e-12,0.0034004,-2.9712e-11,6.9547e-08,-7.1259e-07,0.28543,0.0079373,0.14155,0.24262,0.25201,99970,1e+05,1e+05,0,0,0,0,1,3,125,3,200
300,300,3.1133e-06,-3.1244e-08,1.6704,5.199e-06,-1.6115e-07,1.6807,4.2185e-10,4.3603e-12,0.0034276,-3.0933e-11,7.2789e-08,-7.1759e-07,0.29479,0.0075837,0.14128,0.25057,0.26037,99969,1e+05,1e+05,0,0,0,0,1,3.1,125,3.1,200
300,300,3.1516e-06,-3.356e-08,1.6897,5.2406e-06,-1.6737e-07,1.7001,4.2511e-10,4.6419e-12,0.0034548,-3.2153e-11,7.6032e-08,-7.2258e-07,0.30415,0.0072301,0.14102,0.25853,0.26873,99968,1e+05,1e+05,0,0,0,0,1,3.2,125,3.2,200
300,300,3.1839e-06,-3.5772e-08,1.7071,5.2758e-06,-1.7359e-07,1.7174,4.2776e-10,4.978e-12,0.0034699,-3.3366e-11,7.9188e-08,-7.2522e-07,0.31343,0.0069425,0.14078,0.26641,0.27704,99967,1e+05,1e+05,0,0,0,0,1,3.3,125,3.3,200
300,300,3.2047e-06,-3.7787e-08,1.7206,5.2989e-06,-1.7982e-07,1.7309,4.2925e-10,5.417e-12,0.003462,-3.4563e-11,8.2182e-08,-7.2343e-07,0.32257,0.0067786,0.1406,0.27418,0.28526,99966,1e+05,1e+05,0,0,0,0,1,3.4,125,3.4,200
300,300,3.2255e-06,-3.9803e-08,1.7341,5.322e-06,-1.8605e-07,1.7444,4.3074e-10,5.8559e-12,0.0034542,-3.576e-11,8.5177e-08,-7.2165e-07,0.33171,0.0066148,0.14041,0.28195,0.29348,99965,1e+05,1e+05,0,0,0,0,1,3.5,125,3.5,200
300,300,3.2464e-06,-4.1818e-08,1.7476,5.3451e-06,-1.9227e-07,1.7579,4.3224e-10,6.2948e-12,0.0034463,-3.6958e-11,8.8171e-08,-7.1986e-07,0.34084,0.006451,0.14023,0.28972,0.3017,99964,1e+05,1e+05,0,0,0,0,1,3.6,125,3.6,200
300,300,3.2672e-06,-4.3833e-08,1.7611,5.3682e-06,-1.985e-07,1.7714,4.3373e-10,6.7337e-12,0.0034385,-3.8155e-11,9.1166e-08,-7.1808e-07,0.34998,0.0062871,0.14004,0.29749,0.30992,99963,1e+05,1e+05,0,0,0,0,1,3.7,125,3.7,200
300,300,3.2881e-06,-4.5849e-08,1.7746,5.3913e-06,-2.0472e-07,1.7849,4.3522e-10,7.1727e-12,0.0034306,-3.9352e-11,9.416e-08,-7.1629e-07,0.35912,0.0061233,0.13986,0.30525,0.31814,99962,1e+05,1e+05,0,0,0,0,1,3.8,125,3.8,200
