# Setup from log.interADMFoam
# Benchmark: true
# Qin_: 178.467
# Vgas_: 300
# Vliq_: 3400
# Vfrac_: 0.0882353
# qGas_: 1.92901e-08
# alphaW: 0.11889
# alphaI: 1e-20
# alphaInterface: 0.75

Time,Sac,Sh2,Sch4,Sco2,Gh2,RGh2,Gch4,RGch4,Gco2,RGco2
6.768,0.0458149,1.29904e-07,0.051953,9.01671,1.10109e-05,-1.8154e-10,1.65292,6.35841e-06,13.4291,-0.000749084
6.868,0.045815,1.29909e-07,0.0519532,9.01679,1.10106e-05,-1.81516e-10,1.65291,6.35947e-06,13.4281,-0.00074733
6.968,0.0458152,1.29915e-07,0.0519534,9.01687,1.10103e-05,-1.81489e-10,1.6529,6.36065e-06,13.4271,-0.000745585
7.068,0.0458152,1.29924e-07,0.0519536,9.01695,1.101e-05,-1.81454e-10,1.65289,6.36169e-06,13.4262,-0.000743835
7.168,0.0458154,1.2993e-07,0.0519539,9.01704,1.10097e-05,-1.81426e-10,1.65288,6.36287e-06,13.4252,-0.000742071
7.268,0.0458155,1.29936e-07,0.0519542,9.01712,1.10094e-05,-1.81399e-10,1.65288,6.36404e-06,13.4242,-0.000740315
7.368,0.0458157,1.29941e-07,0.0519544,9.01721,1.1009e-05,-1.81375e-10,1.65287,6.3652e-06,13.4233,-0.000738566
7.468,0.0458158,1.29946e-07,0.0519546,9.0173,1.10087e-05,-1.8135e-10,1.65286,6.36628e-06,13.4223,-0.000736821
7.568,0.045816,1.29951e-07,0.0519549,9.01738,1.10084e-05,-1.81324e-10,1.65285,6.36752e-06,13.4213,-0.000735074
7.668,0.0458161,1.29959e-07,0.0519552,9.01747,1.10081e-05,-1.81292e-10,1.65284,6.36868e-06,13.4204,-0.000733343
7.768,0.0458163,1.29964e-07,0.0519555,9.01755,1.10078e-05,-1.81267e-10,1.65284,6.36993e-06,13.4194,-0.000731604
7.868,0.0458166,1.29969e-07,0.0519558,9.01764,1.10075e-05,-1.81243e-10,1.65283,6.37124e-06,13.4185,-0.000729876
7.968,0.0458166,1.29974e-07,0.051956,9.01771,1.10072e-05,-1.81218e-10,1.65282,6.37224e-06,13.4175,-0.000728177
8.068,0.0458167,1.29979e-07,0.0519562,9.01779,1.10069e-05,-1.81193e-10,1.65281,6.37335e-06,13.4166,-0.000726469
8.168,0.0458169,1.29982e-07,0.0519565,9.01787,1.10066e-05,-1.8117e-10,1.6528,6.37456e-06,13.4156,-0.000724756
8.268,0.0458169,1.29986e-07,0.0519567,9.01793,1.10063e-05,-1.81149e-10,1.65279,6.37551e-06,13.4147,-0.000723083
8.368,0.045817,1.29989e-07,0.0519569,9.01801,1.1006e-05,-1.81129e-10,1.65279,6.37657e-06,13.4137,-0.000721393
8.468,0.0458172,1.29992e-07,0.0519572,9.01808,1.10057e-05,-1.81109e-10,1.65278,6.37775e-06,13.4128,-0.000719703
8.568,0.0458172,1.29994e-07,0.0519574,9.01815,1.10054e-05,-1.81089e-10,1.65277,6.37879e-06,13.4119,-0.000718029
8.668,0.0458172,1.29998e-07,0.0519575,9.01822,1.1005e-05,-1.81068e-10,1.65276,6.37971e-06,13.4109,-0.000716367
