# y+ ()           
# Time            	patch             	min               	max               	average           
130               	fixedWalls	2.2448139273e-03	2.1768132544e+00	3.0562087776e-01
132               	movingWall	6.1834925976e-01	2.7582958129e+00	1.0327757863e+00
132               	fixedWalls	1.8429676933e-03	2.1764905767e+00	2.9969776210e-01
134               	movingWall	6.1952663776e-01	2.7582756455e+00	1.0331767785e+00
134               	fixedWalls	1.7068631716e-03	2.1764336624e+00	3.0191132076e-01
136               	movingWall	6.1623196156e-01	2.7582341613e+00	1.0334396132e+00
136               	fixedWalls	1.3295598323e-03	2.1770631690e+00	3.0208854110e-01
138               	movingWall	6.1481847918e-01	2.7582895342e+00	1.0320928578e+00
138               	fixedWalls	2.1060335295e-03	2.1767031573e+00	3.0208265851e-01
140               	movingWall	6.1909117153e-01	2.7582847653e+00	1.0331971600e+00
140               	fixedWalls	1.4546462900e-03	2.1765892670e+00	3.0153728843e-01
142               	movingWall	6.1180114451e-01	2.7582811899e+00	1.0318842446e+00
142               	fixedWalls	2.0356032509e-03	2.1769106670e+00	3.0674941295e-01
144               	movingWall	6.1994685950e-01	2.7582842471e+00	1.0333539939e+00
144               	fixedWalls	1.8079260513e-03	2.1766646375e+00	3.0012910474e-01
146               	movingWall	6.2222654634e-01	2.7582774594e+00	1.0341390520e+00
146               	fixedWalls	1.2699493550e-03	2.1765546168e+00	2.9923778903e-01
148               	movingWall	6.1935478404e-01	2.7582138920e+00	1.0344319749e+00
148               	fixedWalls	1.5327913200e-03	2.1773275697e+00	3.0733896946e-01
150               	movingWall	6.1750263183e-01	2.7582788726e+00	1.0335422955e+00
150               	fixedWalls	1.5643283479e-03	2.1768500441e+00	3.0010176037e-01
152               	movingWall	6.2447367710e-01	2.7582582772e+00	1.0346347411e+00
152               	fixedWalls	9.5250462572e-04	2.1768686989e+00	3.0162653130e-01
154               	movingWall	6.1418362242e-01	2.7582239733e+00	1.0336398868e+00
154               	fixedWalls	2.2499102843e-03	2.1773189144e+00	3.0662920570e-01
156               	movingWall	6.2098422893e-01	2.7582664503e+00	1.0340691748e+00
156               	fixedWalls	1.5358395361e-03	2.1769287628e+00	3.0111791565e-01
158               	movingWall	6.2410199757e-01	2.7582670313e+00	1.0350718815e+00
158               	fixedWalls	1.3728714480e-03	2.1769652996e+00	3.0035252208e-01
160               	movingWall	6.1934456747e-01	2.7581959481e+00	1.0348046144e+00
160               	fixedWalls	1.4330422657e-03	2.1778674228e+00	3.0976382492e-01
162               	movingWall	6.2231103335e-01	2.7582284407e+00	1.0356077823e+00
162               	fixedWalls	1.2881501752e-03	2.1773131490e+00	3.0486264248e-01
164               	movingWall	6.2463629358e-01	2.7582452395e+00	1.0354823676e+00
164               	fixedWalls	5.1991853048e-04	2.1774213465e+00	3.0303004666e-01
166               	movingWall	6.1414334303e-01	2.7582067030e+00	1.0336669475e+00
166               	fixedWalls	1.9330187655e-03	2.1779612695e+00	3.0653865477e-01
168               	movingWall	6.1725414051e-01	2.7582594807e+00	1.0338463861e+00
168               	fixedWalls	1.1003798325e-03	2.1771329036e+00	3.0397371291e-01
170               	movingWall	6.2317166290e-01	2.7582399373e+00	1.0355947298e+00
170               	fixedWalls	1.4060550551e-03	2.1776390383e+00	3.0399193578e-01
172               	movingWall	6.1467697926e-01	2.7582066688e+00	1.0340039199e+00
172               	fixedWalls	1.5069691353e-03	2.1783972107e+00	3.0779235386e-01
174               	movingWall	6.2196645192e-01	2.7582245023e+00	1.0354449985e+00
174               	fixedWalls	9.9301876988e-04	2.1774503783e+00	3.0951237654e-01
176               	movingWall	6.1895894996e-01	2.7582334769e+00	1.0348431238e+00
176               	fixedWalls	1.4719303984e-03	2.1778734689e+00	3.0214916721e-01
178               	movingWall	6.1135166983e-01	2.7582310906e+00	1.0325602191e+00
178               	fixedWalls	2.5088702446e-03	2.1781813609e+00	3.0637386013e-01
180               	movingWall	6.1298862571e-01	2.7582877906e+00	1.0326651254e+00
180               	fixedWalls	7.1272506228e-04	2.1769524587e+00	3.0828776383e-01
182               	movingWall	6.1907982191e-01	2.7582270813e+00	1.0348689479e+00
182               	fixedWalls	8.3351393010e-04	2.1781013689e+00	3.0581446855e-01
