"UMean:0","UMean:1","UMean:2","Points:1"
5.8552e-06,-8.4592e-07,2.5486,16.2
5.8548e-06,-8.5045e-07,2.5517,16.3
5.8544e-06,-8.5498e-07,2.5549,16.4
5.854e-06,-8.595e-07,2.5581,16.5
5.8536e-06,-8.6403e-07,2.5612,16.6
5.8532e-06,-8.6856e-07,2.5644,16.7
5.8528e-06,-8.7309e-07,2.5676,16.8
5.8524e-06,-8.7762e-07,2.5707,16.9
5.852e-06,-8.8215e-07,2.5739,17.0
5.8516e-06,-8.8668e-07,2.5771,17.1
5.8512e-06,-8.9121e-07,2.5802,17.2
5.8508e-06,-8.9574e-07,2.5834,17.3
5.8504e-06,-9.0027e-07,2.5866,17.4
5.85e-06,-9.048e-07,2.5897,17.5
5.8496e-06,-9.0933e-07,2.5929,17.6
5.8492e-06,-9.1386e-07,2.5961,17.7
5.8488e-06,-9.1839e-07,2.5992,17.8
5.8484e-06,-9.2292e-07,2.6024,17.9
5.848e-06,-9.2745e-07,2.6056,18.0
5.8476e-06,-9.3197e-07,2.6087,18.1
5.8472e-06,-9.365e-07,2.6119,18.2
5.8468e-06,-9.4103e-07,2.6151,18.3
5.8464e-06,-9.4556e-07,2.6183,18.4
5.846e-06,-9.5009e-07,2.6214,18.5
5.8456e-06,-9.5462e-07,2.6246,18.6
5.8452e-06,-9.5915e-07,2.6278,18.7
5.8448e-06,-9.6368e-07,2.6309,18.8
5.845e-06,-9.6831e-07,2.6339,18.9
5.8464e-06,-9.7313e-07,2.6365,19.0
5.8477e-06,-9.7794e-07,2.6392,19.1
5.8491e-06,-9.8276e-07,2.6418,19.2
5.8504e-06,-9.8757e-07,2.6444,19.3
5.8518e-06,-9.9239e-07,2.6471,19.4
5.8532e-06,-9.972e-07,2.6497,19.5
5.8545e-06,-1.002e-06,2.6523,19.6
5.8559e-06,-1.0068e-06,2.655,19.7
5.8572e-06,-1.0116e-06,2.6576,19.8
5.8586e-06,-1.0165e-06,2.6602,19.9
5.8599e-06,-1.0213e-06,2.6628,20.0
5.8613e-06,-1.0261e-06,2.6655,20.1
5.8626e-06,-1.0309e-06,2.6681,20.2
5.864e-06,-1.0357e-06,2.6707,20.3
5.8653e-06,-1.0405e-06,2.6734,20.4
5.8667e-06,-1.0453e-06,2.676,20.5
5.868e-06,-1.0502e-06,2.6786,20.6
5.8694e-06,-1.055e-06,2.6813,20.7
5.8707e-06,-1.0598e-06,2.6839,20.8
5.8721e-06,-1.0646e-06,2.6865,20.9
5.8735e-06,-1.0694e-06,2.6892,21.0
5.8748e-06,-1.0742e-06,2.6918,21.1
5.8762e-06,-1.079e-06,2.6944,21.2
5.8775e-06,-1.0839e-06,2.6971,21.3
5.8789e-06,-1.0887e-06,2.6997,21.4
5.8802e-06,-1.0935e-06,2.7023,21.5
5.8816e-06,-1.0983e-06,2.705,21.6
5.8829e-06,-1.1031e-06,2.7076,21.7
5.8843e-06,-1.1079e-06,2.7102,21.8
5.8856e-06,-1.1128e-06,2.7129,21.9
5.887e-06,-1.1176e-06,2.7155,22.0
5.8883e-06,-1.1224e-06,2.7181,22.1
5.8897e-06,-1.1272e-06,2.7208,22.2
5.891e-06,-1.132e-06,2.7234,22.3
5.8924e-06,-1.1368e-06,2.726,22.4
5.8937e-06,-1.1416e-06,2.7287,22.5
5.8951e-06,-1.1465e-06,2.7313,22.6
5.8965e-06,-1.1513e-06,2.7339,22.7
5.8993e-06,-1.1565e-06,2.7363,22.8
5.9028e-06,-1.162e-06,2.7385,22.9
5.9062e-06,-1.1674e-06,2.7407,23.0
5.9096e-06,-1.1728e-06,2.7429,23.1
5.913e-06,-1.1783e-06,2.7452,23.2
5.9165e-06,-1.1837e-06,2.7474,23.3
5.9199e-06,-1.1892e-06,2.7496,23.4
5.9233e-06,-1.1946e-06,2.7519,23.5
5.9268e-06,-1.2e-06,2.7541,23.6
5.9302e-06,-1.2055e-06,2.7563,23.7
5.9336e-06,-1.2109e-06,2.7586,23.8
5.9371e-06,-1.2163e-06,2.7608,23.9
5.9405e-06,-1.2218e-06,2.763,24.0
5.9439e-06,-1.2272e-06,2.7652,24.1
5.9474e-06,-1.2327e-06,2.7675,24.2
5.9508e-06,-1.2381e-06,2.7697,24.3
5.9542e-06,-1.2435e-06,2.7719,24.4
5.9576e-06,-1.249e-06,2.7742,24.5
5.9611e-06,-1.2544e-06,2.7764,24.6
5.9645e-06,-1.2599e-06,2.7786,24.7
5.9679e-06,-1.2653e-06,2.7808,24.8
5.9714e-06,-1.2707e-06,2.7831,24.9
5.9748e-06,-1.2762e-06,2.7853,25.0
5.9782e-06,-1.2816e-06,2.7875,25.1
5.9817e-06,-1.287e-06,2.7898,25.2
5.9851e-06,-1.2925e-06,2.792,25.3
5.9885e-06,-1.2979e-06,2.7942,25.4
5.992e-06,-1.3034e-06,2.7965,25.5
5.9954e-06,-1.3088e-06,2.7987,25.6
5.9988e-06,-1.3142e-06,2.8009,25.7
6.0022e-06,-1.3197e-06,2.8031,25.8
6.0057e-06,-1.3251e-06,2.8054,25.9
6.0091e-06,-1.3305e-06,2.8076,26.0
6.0125e-06,-1.336e-06,2.8098,26.1
6.016e-06,-1.3414e-06,2.8121,26.2
6.0194e-06,-1.3469e-06,2.8143,26.3
6.0228e-06,-1.3523e-06,2.8165,26.4
6.0263e-06,-1.3577e-06,2.8188,26.5
6.0298e-06,-1.3633e-06,2.821,26.6
6.0349e-06,-1.3698e-06,2.8229,26.7
6.0399e-06,-1.3762e-06,2.8248,26.8
6.045e-06,-1.3827e-06,2.8268,26.9
6.05e-06,-1.3892e-06,2.8287,27.0
6.055e-06,-1.3957e-06,2.8306,27.1
6.0601e-06,-1.4022e-06,2.8326,27.2
6.0651e-06,-1.4087e-06,2.8345,27.3
6.0702e-06,-1.4152e-06,2.8364,27.4
6.0752e-06,-1.4217e-06,2.8383,27.5
6.0802e-06,-1.4282e-06,2.8403,27.6
6.0853e-06,-1.4347e-06,2.8422,27.7
6.0903e-06,-1.4412e-06,2.8441,27.8
6.0954e-06,-1.4476e-06,2.8461,27.9
6.1004e-06,-1.4541e-06,2.848,28.0
6.1054e-06,-1.4606e-06,2.8499,28.1
6.1105e-06,-1.4671e-06,2.8519,28.2
6.1155e-06,-1.4736e-06,2.8538,28.3
6.1205e-06,-1.4801e-06,2.8557,28.4
6.1256e-06,-1.4866e-06,2.8577,28.5
6.1306e-06,-1.4931e-06,2.8596,28.6
6.1357e-06,-1.4996e-06,2.8615,28.7
6.1407e-06,-1.5061e-06,2.8635,28.8
6.1457e-06,-1.5126e-06,2.8654,28.9
6.1508e-06,-1.519e-06,2.8673,29.0
6.1558e-06,-1.5255e-06,2.8693,29.1
